"","Sample","Protocol","Individual","SI_sample","Run_accession"
"1","Q1","Q","1","BYQ_AAAB","ERR1971004"
"2","H1","H","1","BYQ_AAAM","ERR1971015"
"3","W1","W","1","BYQ_AAAV","ERR1971024"
"4","Q2","Q","2","BYQ_AAAF","ERR1971008"
"5","H2","H","2","BYQ_AAAQ","ERR1971019"
"6","W2","W","2","BYQ_AAAZ","ERR1971028"
"7","Q3","Q","3","BYQ_AAAA","ERR1971003"
"8","H3","H","3","BYQ_AAAL","ERR1971014"
"9","W3","W","3","BYQ_AAAU","ERR1971023"
"10","Q4","Q","4","BYQ_AAAE","ERR1971007"
"11","H4","H","4","BYQ_AAAP","ERR1971018"
"12","W4","W","4","BYQ_AAAY","ERR1971027"
"13","Q5","Q","5","BYQ_AAAG","ERR1971009"
"14","H5","H","5","BYQ_AAAR","ERR1971020"
"15","W5","W","5","BYQ_AABA","ERR1971029"
"16","Q6","Q","6","BYQ_AAAD","ERR1971006"
"17","H6","H","6","BYQ_AAAO","ERR1971017"
"18","W6","W","6","BYQ_AAAX","ERR1971026"
"19","Q7","Q","7","BYQ_AAAC","ERR1971005"
"20","H7","H","7","BYQ_AAAN","ERR1971016"
"21","W7","W","7","BYQ_AAAW","ERR1971025"
"22","Q8","Q","8","BYQ_AAAH","ERR1971010"
"23","H8","H","8","BYQ_AAAS","ERR1971021"
"24","W8","W","8","BYQ_AABB","ERR1971030"
"25","QA","Q","A","BYQ_AAAJ","ERR1971012"
"26","QB","Q","B","BYQ_AAAI","ERR1971011"
"27","QM","Q","M","BYQ_AAAK","ERR1971013"
"28","HM","H","M","BYQ_AAAT","ERR1971022"
"29","WM","W","M","BYQ_AABC","ERR1971031"
